sex,year,pop
Male,2011,7378706.732596399
Male,2012,7468144.065929729
Male,2013,7559135.208786872
Male,2014,7671286.06592973
Male,2015,7794558.637358303
Male,2016,7901377.113548781
Male,2017,7943322.1611678265
Male,2018,8034904.10324884
Male,2019,8122060.933631272
Male,2020,8205601.388168351
Male,2021,8284006.787103259
Male,2022,8357195.803790021
Male,2023,8426930.752338376
Male,2024,8491473.16878759
Male,2025,8551603.484722378
Male,2026,8607534.128884448
Male,2027,8659811.83579281
Male,2028,8709478.13631262
Male,2029,8755610.68895293
Male,2030,8798332.838682663
Male,2031,8840236.89201628
Male,2032,8881153.070238499
Male,2033,8921376.228201784
Male,2034,8962167.1096454
Male,2035,9003527.76470955
Male,2036,9043992.894889442
Male,2037,9083579.864476187
Male,2038,9122698.30615451
Male,2039,9162349.391211325
Male,2040,9202949.91952731
Male,2041,9242758.65552587
Male,2042,9281747.335706705
Male,2043,9318714.359559288
Male,2044,9353007.67575403
Male,2045,9382927.411324818
Male,2046,9409434.915264014
Male,2047,9434201.246969081
Male,2048,9459493.739114732
Male,2049,9482928.607789142
Male,2050,9504953.21301095
Female,2011,7351935.2609404
Female,2012,7442369.641892776
Female,2013,7514311.832368965
Female,2014,7597377.927607063
Female,2015,7691707.927607065
Female,2016,7749285.832368969
Female,2017,7782877.165702303
Female,2018,7854282.0215397645
Female,2019,7922947.974721287
Female,2020,7988100.6807971345
Female,2021,8050410.0617169365
Female,2022,8107905.448906331
Female,2023,8161823.210895625
Female,2024,8211521.515640292
Female,2025,8257354.615893237
Female,2026,8298801.463239543
Female,2027,8337505.640908541
Female,2028,8373105.014072045
Female,2029,8404951.195817623
Female,2030,8435032.090756925
Female,2031,8464239.132319327
Female,2032,8492930.017333776
Female,2033,8523315.859149558
Female,2034,8554130.89886501
Female,2035,8584844.934700798
Female,2036,8616841.681537854
Female,2037,8647766.61066767
Female,2038,8679186.95773755
Female,2039,8711428.307324052
Female,2040,8743828.449760469
Female,2041,8775590.404302355
Female,2042,8806327.024156217
Female,2043,8836157.230469365
Female,2044,8864196.675239412
Female,2045,8886934.529430395
Female,2046,8907178.196011601
Female,2047,8926529.17540766
Female,2048,8945656.534196354
Female,2049,8965095.104028355
Female,2050,8984344.10773254
